Customer ID,Recency,Frequency,Monetary,Cancel_Count,Cluster,Segment,predicted_clv,Churned
12346,326,12,77556.46,14,0,Champions,25962.373049360693,1
12347,2,8,5633.32,0,0,Champions,3981.252161892995,0
12348,75,5,2019.4,0,2,At-Risk,1413.9540740444004,0
12349,19,4,4428.6900000000005,5,3,New/Occasional,2179.239818735798,0
12350,310,1,334.40000000000003,0,1,Lost/Inactive,,1
12351,375,1,300.93,0,1,Lost/Inactive,,1
12352,36,10,2849.84,10,0,Champions,2161.109557816563,0
12353,204,2,406.76,0,1,Lost/Inactive,108.75702582495184,1
12354,232,1,1079.4,0,1,Lost/Inactive,,1
12355,214,2,947.61,0,2,At-Risk,423.7759044827161,1
12356,23,6,6373.68,0,0,Champions,4313.958690025775,0
12357,33,3,18287.66,0,0,Champions,8378.24691817371,0
12358,2,5,3887.07,0,0,Champions,1243.0671821904837,0
12359,58,10,8935.94,10,0,Champions,3711.411701637979,0
12360,52,8,4252.89,1,0,Champions,2131.4235575644907,0
12361,287,4,511.25,0,2,At-Risk,212.3396225293569,1
12362,3,11,5356.2300000000005,8,0,Champions,2355.265633974724,0
12363,110,2,552.0,0,1,Lost/Inactive,475.77720454393335,1
12364,8,4,1313.1,0,3,New/Occasional,1633.5677444316304,0
12365,291,2,641.38,1,1,Lost/Inactive,,1
12366,634,1,500.24,0,1,Lost/Inactive,-6.471035454678373,1
12367,4,1,168.9,0,3,New/Occasional,,0
12368,628,1,917.7,0,1,Lost/Inactive,-6.516955680767672,1
12369,413,3,1791.15,0,2,At-Risk,762.5071408193469,1
12370,51,7,4320.31,0,2,At-Risk,1982.1053624116264,0
12371,45,5,4067.38,0,2,At-Risk,2062.407566413981,0
12372,72,3,1298.04,0,2,At-Risk,1145.6881181998529,0
12373,311,3,1127.65,0,2,At-Risk,405.6458145316408,1
12374,25,4,2989.2200000000003,0,3,New/Occasional,1154.9738585053403,0
12375,11,2,457.5,1,3,New/Occasional,853.6107677410813,0
12376,390,2,503.15,0,1,Lost/Inactive,46.06521521054439,1
12377,315,4,3426.32,0,2,At-Risk,1220.6259547932611,1
12378,130,2,5416.32,0,2,At-Risk,3834.718601201816,1
12379,82,4,1620.22,1,2,At-Risk,878.7982541129713,1
12380,22,11,9676.3,6,0,Champions,3411.186614168231,0
12381,5,5,1845.31,4,3,New/Occasional,1248.11489075009,0
12383,185,5,1850.56,1,2,At-Risk,1014.0017846374946,1
12384,29,2,585.27,3,3,New/Occasional,948.1286068798106,0
12385,379,1,1938.4,1,2,At-Risk,,1
12386,338,2,660.8000000000001,0,1,Lost/Inactive,113.06364753633264,1
12387,415,1,143.94,0,1,Lost/Inactive,,1
12388,16,8,3901.11,0,0,Champions,1979.992804702582,0
12389,403,3,1433.33,0,2,At-Risk,682.1955689894106,1
12390,80,1,549.84,0,1,Lost/Inactive,,1
12391,22,6,2773.42,6,0,Champions,1139.1342960146028,0
12392,591,1,234.75000000000003,0,1,Lost/Inactive,-6.87822500269337,1
12393,72,6,2399.45,5,2,At-Risk,1624.31567314959,0
12394,64,2,1272.48,0,3,New/Occasional,1874.1343427710697,0
12395,19,15,5067.27,3,0,Champions,2097.203059791771,0
12396,674,1,931.43,0,1,Lost/Inactive,-6.117637362831072,1
12397,36,2,2409.9,0,3,New/Occasional,3555.574400569509,0
12398,46,1,1635.66,0,3,New/Occasional,,0
12399,119,7,1962.3,0,2,At-Risk,922.7811619138932,1
12400,414,1,205.25,0,1,Lost/Inactive,,1
12401,303,1,84.3,0,1,Lost/Inactive,,1
12402,323,6,1256.9,1,2,At-Risk,447.9416233255313,1
12403,50,2,1019.36,1,3,New/Occasional,450.501877532413,0
12404,682,1,63.24,0,1,Lost/Inactive,-6.053148487918491,1
12405,149,1,1710.39,0,2,At-Risk,,1
12406,22,5,6390.36,4,0,Champions,2902.7954629078245,0
12407,50,5,1708.12,0,2,At-Risk,1775.4878923335273,0
12408,33,8,4340.77,11,0,Champions,2779.49327308094,0
12409,79,7,23419.29,8,0,Champions,9878.59100410275,1
12410,309,3,1013.71,2,2,At-Risk,637.4935647820627,1
12411,410,1,346.9,0,1,Lost/Inactive,,1
12412,75,6,2596.93,4,2,At-Risk,1225.0952475133445,0
12413,67,4,999.45,2,2,At-Risk,681.3062542727259,0
12414,217,6,952.41,9,2,At-Risk,410.6324351396791,1
12415,24,28,144458.37,62,0,Champions,82941.21935646686,0
12416,657,1,202.56,0,1,Lost/Inactive,-6.267901844768549,1
12417,3,20,6816.91,10,0,Champions,2848.792145901995,0
12418,113,4,2021.2,1,2,At-Risk,1011.0313811930116,1
12419,386,2,503.01,0,1,Lost/Inactive,115.78775921833758,1
12420,64,1,600.39,0,3,New/Occasional,,0
12421,16,6,1098.6,2,3,New/Occasional,695.387656589758,0
12422,96,17,5231.8,4,0,Champions,2292.789417737299,1
12423,1,10,2622.39,1,0,Champions,1596.5983559780816,0
12424,163,4,3340.03,5,2,At-Risk,2150.2220895366117,1
12425,78,2,1741.41,4,2,At-Risk,919.6848190134068,1
12426,195,2,1345.21,5,2,At-Risk,477.2220450065528,1
12427,22,3,1129.3,4,3,New/Occasional,564.3360770899463,0
12428,26,9,7956.46,6,0,Champions,3221.9307599632275,0
